Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
MÆt n¹ - Tr­¬ng T«ng Chİnh	0	11	139	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - DiÖu Nh­	0	11	140	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - LiÔu Thanh Thanh	0	11	141	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - PhiÕn Kh¸ch	0	11	142	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Lam Y Y	0	11	143	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Cæ B¸ch	0	11	144	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §¹o Thanh Ch©n Nh©n	0	11	145	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Gia LuËt TŞ Ly	0	11	146	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hoµn Nhan TuyÕt Y	0	11	147	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §oan Méc DuÖ	0	11	148	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Chung Linh Tó	0	11	149	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hµ Linh Phiªu	0	11	150	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - M¹nh Th­¬ng L­¬ng	0	11	151	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §«ng B¾c Hæ	0	11	152	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hoa Nam Hæ	0	11	153	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - B¹ch Hæ	0	11	154	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Kim TiÒn B¸o	0	11	155	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - TuyÕt B¸o	0	11	156	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Sãi x¸m	0	11	157	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Sãi ®á	0	11	158	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thanh lang	0	11	159	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Sãi tuyÕt	0	11	160	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hå Ly	0	11	161	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hång Hå	0	11	162	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Heo rõng	0	11	163	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Nhİm	0	11	164	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Voi Ch©u ¸	0	11	165	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Voi Hoµng Hµ	0	11	166	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - GÊu n©u	0	11	167	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - GÊu ®en	0	11	168	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ -Tr©u rõng	0	11	169	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - D­¬ng Tö Ng¹c	0	11	170	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Th»n l»n ®á	0	11	171	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Nh·n Kİnh M·ng xµ	0	11	172	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - R¾n xanh	0	11	173	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Kim Hoµn M·ng Xµ	0	11	174	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Xİch LuyÖn M·ng Xµ	0	11	175	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Kim §iªu	0	11	176	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Th­¬ng ¦ng	0	11	177	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - KÒn kÒn	0	11	178	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - D¬i chóa	0	11	179	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - D¬i chóa ®á	0	11	180	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - D¬i Dong	0	11	181	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - D¬i hót m¸u	0	11	182	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Kim Miªu	0	11	183	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - X¸ LŞ	0	11	184	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Ho¸n Hïng	0	11	185	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Linh Miªu	0	11	186	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tµng Vùc HÇu	0	11	187	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - KhØ x¸m	0	11	188	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - H¾c DiÖp HÇu	0	11	189	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Kim T¬ HÇu	0	11	190	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Sµi	0	11	191	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - TuyÕt Qu¸i	0	11	192	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Cãc	0	11	193	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - H­¬u ®èm	0	11	194	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Heo tr¾ng	0	11	195	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Bß c¹p	0	11	196	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - NhÖn	0	11	197	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - RÕt	0	11	198	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (®á)	0	11	199	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (®á)	0	11	200	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §Çu «ng ®Şa	0	11	201	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Nam S­	0	11	202	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - B¾c S­	0	11	203	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Long Ch©u	0	11	204	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §Çu Rång	0	11	205	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Th©n Rång	0	11	206	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §u«i Rång	0	11	207	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - V­¬ng T¸	0	11	208	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - HuyÒn Gi¸c §¹i S­	0	11	209	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	2																																	
MÆt n¹ - §­êng BÊt NhiÔm	0	11	210	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	3																																	
MÆt n¹ - B¹ch Doanh Doanh	0	11	211	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	4																																	
MÆt n¹ - Thanh TuyÖt S­ Th¸i	0	11	212	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	5																																	
MÆt n¹ - Yªn HiÓu Tr¸i	0	11	213	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	6																																	
MÆt n¹ - Hµ Nh©n Ng·	0	11	214	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	7																																	
MÆt n¹ - §¬n T­ Nam	0	11	215	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	8																																	
MÆt n¹ - TuyÒn C¬ Tö	0	11	216	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	9																																	
MÆt n¹ - Hµn M«ng	0	11	217	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	10																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn L«i KiÕm	0	11	218	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn TiÕu S­¬ng	0	11	219	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn Háa NhËn	0	11	220	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn H¶i §­êng	0	11	221	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn Kim Phong	0	11	222	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn L«i KiÕm	0	11	223	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn TiÕu S­¬ng	0	11	224	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn Háa NhËn	0	11	225	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn H¶i §­êng	0	11	226	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn Kim Phong	0	11	227	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn L«i KiÕm	0	11	228	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn TiÕu S­¬ng	0	11	229	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn Háa NhËn	0	11	230	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn H¶i §­êng	0	11	231	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn Kim Phong	0	11	232	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thanh Niªn L«i KiÕm	0	11	233	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thanh Niªn TiÕu S­¬ng	0	11	234	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thanh Niªn Háa NhËn	0	11	235	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thanh Niªn H¶i §­êng	0	11	236	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thanh Niªn Kim Phong	0	11	237	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thµnh Niªn L«i KiÕm	0	11	238	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thµnh Niªn TiÕu S­¬ng	0	11	239	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thµnh Niªn Háa NhËn	0	11	240	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thµnh Niªn H¶i §­êng	0	11	241	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thµnh Niªn Kim Phong	0	11	242	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (Lôc)	0	11	243	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©n Niªn HiÖp Kh¸ch	0	11	244	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©n Niªn HiÖp N÷	0	11	245	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thá tr¾ng	0	11	246	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - TuÇn Léc	0	11	247	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (xanh)	0	11	248	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (tİm)	0	11	249	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (®á)	0	11	250	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (vµng)	0	11	251	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (xanh)	0	11	252	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (Hång phÊn)	0	11	253	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (tr¾ng)	0	11	254	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (vµng)	0	11	255	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (xanh)	0	11	256	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (Hång phÊn)	0	11	257	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (tr¾ng)	0	11	258	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (vµng)	0	11	259	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - H¹ Thµnh	0	11	260	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T« Tõ Hinh	0	11	261	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §­êng Thiªn T©m	0	11	262	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Niªn Thó	0	11	263	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - H¹ Thµnh	0	11	264	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T« Tõ Hinh	0	11	265	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §­êng Thiªn T©m	0	11	266	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©y B¾c S¬n tÆc ®Çu lÜnh	0	11	267	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©y Nam S¬n tÆc ®Çu lÜnh	0	11	268	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Giang Nam S¬n tÆc ®Çu lÜnh	0	11	269	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §«ng B¾c S¬n tÆc ®Çu lÜnh	0	11	270	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hoa B¾c S¬n tÆc ®Çu lÜnh	0	11	271	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Nam Bé S¬n tÆc ®Çu lÜnh	0	11	272	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - S¬n tÆc ®Çu lÜnh	0	11	273	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©y B¾c S¬n tÆc Gi¸p	0	11	274	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©y B¾c S¬n tÆc Êt	0	11	275	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©y Nam S¬n tÆc Gi¸p	0	11	276	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©y Nam S¬n tÆc Êt	0	11	277	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Giang Nam S¬n tÆc Gi¸p	0	11	278	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Giang Nam S¬n tÆc Êt	0	11	279	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hoa Nam S¬n tÆc Gi¸p	0	11	280	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hoa Nam S¬n tÆc Êt	0	11	281	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §«ng B¾c S¬n tÆc Gi¸p	0	11	282	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §«ng B¾c S¬n tÆc Êt	0	11	283	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hoa B¾c S¬n tÆc Gi¸p	0	11	284	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hoa B¾c S¬n tÆc Êt	0	11	285	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Trung Nguyªn S¬n tÆc Gi¸p	0	11	286	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Trung Nguyªn S¬n tÆc Êt	0	11	287	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
